chr1	1
chrUn_KI270510v1	KI270510.1
chrUn_KI270511v1	KI270511.1
chrUn_KI270512v1	KI270512.1
chrUn_KI270515v1	KI270515.1
chrUn_KI270516v1	KI270516.1
chrUn_KI270517v1	KI270517.1
chrUn_KI270518v1	KI270518.1
chrUn_KI270519v1	KI270519.1
chrUn_KI270521v1	KI270521.1
chrUn_KI270522v1	KI270522.1
chrUn_KI270528v1	KI270528.1
chrUn_KI270529v1	KI270529.1
chrUn_KI270530v1	KI270530.1
chrUn_KI270538v1	KI270538.1
chrUn_KI270539v1	KI270539.1
chrUn_KI270544v1	KI270544.1
chrUn_KI270548v1	KI270548.1
chrUn_KI270579v1	KI270579.1
chrUn_KI270580v1	KI270580.1
chrUn_KI270581v1	KI270581.1
chrUn_KI270582v1	KI270582.1
chrUn_KI270583v1	KI270583.1
chrUn_KI270584v1	KI270584.1
chrUn_KI270587v1	KI270587.1
chrUn_KI270588v1	KI270588.1
chrUn_KI270589v1	KI270589.1
chrUn_KI270590v1	KI270590.1
chrUn_KI270591v1	KI270591.1
chrUn_KI270593v1	KI270593.1
chrUn_KI270741v1	KI270741.1
chrUn_KI270742v1	KI270742.1
chrUn_KI270743v1	KI270743.1
chrUn_KI270744v1	KI270744.1
chrUn_KI270745v1	KI270745.1
chrUn_KI270746v1	KI270746.1
chrUn_KI270747v1	KI270747.1
chrUn_KI270748v1	KI270748.1
chrUn_KI270749v1	KI270749.1
chrUn_KI270750v1	KI270750.1
chrUn_KI270751v1	KI270751.1
chrUn_KI270752v1	KI270752.1
chrUn_KI270753v1	KI270753.1
chrUn_KI270754v1	KI270754.1
chrUn_KI270755v1	KI270755.1
chrUn_KI270756v1	KI270756.1
chrUn_KI270757v1	KI270757.1
chrY_KI270740v1_random	KI270740.1
